ibge_code,ibge_name,uf,prefeitura_url,camara_url
5104203,Guiratinga,MT,http://guiratinga.mt.gov.br,https://www.guiratinga.mt.leg.br/
5104500,Indiavaí,MT,http://indiavai.mt.gov.br,https://camaraindiavai.com.br/
5104526,Ipiranga do Norte,MT,https://ipirangadonorte.mt.gov.br/,http://www.ipirangadonorte.mt.leg.br/
5104542,Itanhangá,MT,https://itanhanga.mt.gov.br,https://www.camaraitanhanga.mt.gov.br/
5104559,Itaúba,MT,https://itauba.mt.gov.br/,http://www.camaraitauba.mt.gov.br/
5104609,Itiquira,MT,https://itiquira.mt.gov.br/,https://www.itiquira.mt.leg.br/
5104807,Jaciara,MT,https://jaciara.mt.gov.br/,http://www.camarajaciara.mt.gov.br/
5104906,Jangada,MT,https://jangada.mt.gov.br/,http://www.jangada.mt.leg.br/
5105002,Jauru,MT,http://jauru.mt.gov.br,http://www.camarajauru.mt.gov.br/
5105101,Juara,MT,http://www.juara.mt.gov.br/,https://juara.mt.leg.br/
5105150,Juína,MT,https://juina.mt.gov.br/,http://www.juina.mt.leg.br/
5105176,Juruena,MT,http://juruena.mt.gov.br,https://www.juruena.mt.leg.br/
5105200,Juscimeira,MT,http://www.juscimeira.mt.gov.br,https://www.camarajuscimeira.mt.gov.br/
5105234,Lambari D'Oeste,MT,,https://www.camaramirassoldoeste.mt.gov.br/
5105259,Lucas do Rio Verde,MT,http://www.lucasdorioverde.mt.gov.br,http://www.camaralucasdorioverde.mt.gov.br/
5105309,Luciara,MT,https://luciara.mt.gov.br/,https://luciara.mt.leg.br/
5105507,Vila Bela da Santíssima Trindade,MT,http://vilabeladasantissimatrindade.mt.gov,https://www.camaravilabela.mt.gov.br/
5105580,Marcelândia,MT,https://marcelandia.mt.gov.br/,https://www.camaramarcelandia.mt.gov.br/
5105606,Matupá,MT,https://matupa.mt.gov.br/,https://www.camaramatupa.mt.gov.br/
5105622,Mirassol d'Oeste,MT,https://mirassoldoeste.mt.gov.br/,https://www.camaramirassoldoeste.mt.gov.br/
5105903,Nobres,MT,https://nobres.mt.gov.br/,https://www.nobres.mt.leg.br/
5106000,Nortelândia,MT,http://www.nortelandia.mt.gov.br,http://www.camaranortelandia.mt.gov.br/
5106109,Nossa Senhora do Livramento,MT,https://nossasenhoradolivramento.mt.gov.br/,https://camaranossasenhoradolivramento.mt.gov.br/
5106158,Nova Bandeirantes,MT,http://novabandeirantes.mt.gov.br,http://www.camaranovabandeirantes.mt.gov.br/
5106174,Nova Nazaré,MT,http://novanazare.mt.gov.br,http://www.novanazare.mt.leg.br/
5106182,Nova Lacerda,MT,https://novalacerda.mt.gov.br/,https://www.camaranovalacerda.mt.gov.br/
5106190,Nova Santa Helena,MT,http://novasantahelena.mt.gov.br,http://novasantahelena.mt.leg.br/
5106208,Nova Brasilândia,MT,https://novabrasilandia.mt.gov.br/,http://www.novabrasilandia.mt.leg.br/
5106216,Nova Canaã do Norte,MT,https://novacanaadonorte.mt.gov.br/,http://www.camaranovacanaa.mt.gov.br/
5106224,Nova Mutum,MT,http://www.novamutum.mt.gov.br,https://novamutum.mt.leg.br/
5106232,Nova Olímpia,MT,https://novaolimpia.mt.gov.br/,https://www.camaranovaolimpia.mt.gov.br/
5106240,Nova Ubiratã,MT,https://novaubirata.mt.gov.br/,http://novaubirata.mt.leg.br/
5106257,Nova Xavantina,MT,https://novaxavantina.mt.gov.br/,https://www.novaxavantina.mt.leg.br/
5106265,Novo Mundo,MT,https://novomundo.mt.gov.br/,https://www.novomundo.mt.leg.br/
5106273,Novo Horizonte do Norte,MT,https://novohorizontedonorte.mt.gov.br/,http://www.camaranovohorizontedonorte.mt.gov.br/
5106281,Novo São Joaquim,MT,http://www.novosaojoaquim.mt.gov.br,http://www.camaranovosaojoaquim.mt.gov.br/
5106299,Paranaíta,MT,https://paranaita.mt.gov.br/,http://www.paranaita.mt.leg.br/#/home
5106307,Paranatinga,MT,http://paranatinga.mt.gov.br,https://www.paranatinga.mt.leg.br/
5106315,Novo Santo Antônio,MT,https://www.novosantoantonio.mt.gov.br/,https://novosantoantonio.mt.leg.br/
5106372,Pedra Preta,MT,http://www.pedrapreta.mt.gov.br/,https://pedrapreta.mt.leg.br/
5106422,Peixoto de Azevedo,MT,https://peixotodeazevedo.mt.gov.br/,https://camarapeixotodeazevedo.mt.gov.br/
